Anio,Mes,CodigoPais,PaisOrigen,LongitudPais,LatitudPais,CodigoDepto,DepartamentoDestino,LongitudDpto,LatitudDpto,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2006,Enero,611,Puerto Rico,-661.136,184.676,23,CÓRDOBA,-758732573059,875981523965,"0105920000 - Gallos y gallinas vivos, de peso inferior o igual a 2.000 g, pero superior a 185 g.",Avícola,Gallos y gallinas,U,40,0.4,1892.93,0.09
2006,Enero,361,India,79,-22,5,ANTIOQUIA,-755760017134,624858636743,0408110000 - Yemas de huevo secas.,Avícola,Huevos,KG,22000,58.85,144756.67,22
2006,Enero,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,18173.2,28.17,69423.85,18.17
2006,Enero,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,4003,11.81,29104.07,4
2006,Enero,611,Puerto Rico,-661.136,184.676,23,CÓRDOBA,-758732573059,875981523965,"0105920000 - Gallos y gallinas vivos, de peso inferior o igual a 2.000 g, pero superior a 185 g.",Avícola,Gallos y gallinas,U,40,0.4,1897.01,0.09
2006,Enero,211,Chile,-71,-30,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0105120000 - Pavos (gallipavos)de las especies domésticas, vivos,  de peso inferior o igual a 185 g.",Avícola,Gallos y gallinas,U,8900,14.44,42479.24,0.54
2006,Enero,493,México,-102,23,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0407002000 - Huevos de ave con cáscara (cascarón), frescos, conservados o cocidos para producción de vacunas (libres de patógenos específicos).",Avícola,Huevos,U,360,0.85,3338.01,0.02
2006,Enero,149,Canadá,-113.643,601.087,68,SANTANDER,-731325976221,711626842734,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,8960,56.37,141435.62,0.41
2006,Enero,249,Estados Unidos,-98.5,39.76,73,TOLIMA,-751953679078,443280938914,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,31057,387.93,915688.88,1.9
2006,Enero,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,21838,271.1,650864.83,1.43
2006,Enero,249,Estados Unidos,-98.5,39.76,73,TOLIMA,-751953679078,443280938914,0407001000 - Huevos de ave para incubar.,Avícola,Huevos,U,87120,60.53,148253.82,5.45
