CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
5,ANTIOQUIA,5134,CAMPAMENTO,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,3784,3595,13661,3.8,PANELA
5,ANTIOQUIA,5890,YOLOMBO,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,3430,3400,15300,4.5,PANELA
5,ANTIOQUIA,5670,SAN ROQUE,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,3050,3019,14672,4.9,PANELA
5,ANTIOQUIA,5885,YALI,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,2250,1850,9250,5,PANELA
5,ANTIOQUIA,5690,SANTO DOMINGO,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,1963,1958,7832,4,PANELA
5,ANTIOQUIA,5284,FRONTINO,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,1643,1643,11501,7,PANELA
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,1500,1480,5920,4,PANELA
5,ANTIOQUIA,5858,VEGACHI,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,1470,1315,6312,4.8,PANELA
5,ANTIOQUIA,5040,ANORI,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,1040,1020,2550,2.5,PANELA
5,ANTIOQUIA,5483,NARIÑO,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,995,970,3395,3.5,PANELA
5,ANTIOQUIA,5847,URRAO,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,944,941,2135,2.3,PANELA
5,ANTIOQUIA,5649,SAN CARLOS,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,942,942,3580,3.8,PANELA
5,ANTIOQUIA,5079,BARBOSA,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,843,831,3326,4,PANELA
5,ANTIOQUIA,5197,COCORNA,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,804,786,2751,3.5,PANELA
5,ANTIOQUIA,5308,GIRARDOTA,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,786,786,3301,4.2,PANELA
5,ANTIOQUIA,5190,CISNEROS,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,749,719,3092,4.3,PANELA
5,ANTIOQUIA,5756,SONSON,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,700,630,2142,3.4,PANELA
5,ANTIOQUIA,5240,EBEJICO,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,696,291,1248,4.3,PANELA
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,694,689,2205,3.2,PANELA
5,ANTIOQUIA,5361,ITUANGO,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,620,600,2400,4,PANELA
5,ANTIOQUIA,5667,SAN RAFAEL,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,535,535,1605,3,PANELA
5,ANTIOQUIA,5425,MACEO,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,500,400,1600,4,PANELA
5,ANTIOQUIA,5209,CONCORDIA,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,500,430,3010,7,PANELA
5,ANTIOQUIA,5055,ARGELIA,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,425,415,780,1.9,PANELA
5,ANTIOQUIA,5842,URAMITA,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,410,345,2070,6,PANELA
5,ANTIOQUIA,5887,YARUMAL,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,408,389,1246,3.2,PANELA
5,ANTIOQUIA,5313,GRANADA,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,400,400,2000,5,PANELA
5,ANTIOQUIA,5234,DABEIBA,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,400,400,2200,5.5,PANELA
5,ANTIOQUIA,5604,REMEDIOS,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,390,390,975,2.5,PANELA
5,ANTIOQUIA,5576,PUEBLO RICO,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,362,355,2045,5.8,PANELA
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,360,330,1023,3.1,PANELA
5,ANTIOQUIA,5315,GUADALUPE,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,358,358,1289,3.6,PANELA
5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,OTROS PERMANENTES,CAÑA,CAÑA PANELERA,CAÑA PANELERA,112070350082,SACCHARUM OFFICINARUM,2007,335,335,1608,4.8,PANELA
