CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
5,ANTIOQUIA,5790,TARAZA,FORESTALES,CAUCHO,CAUCHO,CAUCHO,112072090556,HEVEA BRAZILIENSIS,2007,1542,80,120,1.5,LATEX SECO
5,ANTIOQUIA,5120,CACERES,FORESTALES,CAUCHO,CAUCHO,CAUCHO,112072090556,HEVEA BRAZILIENSIS,2007,725,0,0,,LATEX SECO
5,ANTIOQUIA,5480,MUTATA,FORESTALES,CAUCHO,CAUCHO,CAUCHO,112072090556,HEVEA BRAZILIENSIS,2007,106,17,22,1.3,LATEX SECO
5,ANTIOQUIA,5895,ZARAGOZA,FORESTALES,CAUCHO,CAUCHO,CAUCHO,112072090556,HEVEA BRAZILIENSIS,2007,100,0,0,,LATEX SECO
5,ANTIOQUIA,5250,EL BAGRE,FORESTALES,CAUCHO,CAUCHO,CAUCHO,112072090556,HEVEA BRAZILIENSIS,2007,90,0,0,,LATEX SECO
5,ANTIOQUIA,5490,NECOCLI,FORESTALES,CAUCHO,CAUCHO,CAUCHO,112072090556,HEVEA BRAZILIENSIS,2007,70,0,0,,LATEX SECO
5,ANTIOQUIA,5837,TURBO,FORESTALES,CAUCHO,CAUCHO,CAUCHO,112072090556,HEVEA BRAZILIENSIS,2007,70,0,0,,LATEX SECO
5,ANTIOQUIA,5031,AMALFI,FORESTALES,CAUCHO,CAUCHO,CAUCHO,112072090556,HEVEA BRAZILIENSIS,2007,46,7,11,1.6,LATEX SECO
5,ANTIOQUIA,5154,CAUCASIA,FORESTALES,CAUCHO,CAUCHO,CAUCHO,112072090556,HEVEA BRAZILIENSIS,2007,40,0,0,,LATEX SECO
5,ANTIOQUIA,5670,SAN ROQUE,FORESTALES,CAUCHO,CAUCHO,CAUCHO,112072090556,HEVEA BRAZILIENSIS,2007,16,5,4,0.8,LATEX SECO
