MUNICIPIOS,PRODUCTO,AREA SEMBRADA (ha) ,AREA COSECHADA (ha) ,RENDIMIENTO (t/ha) ,PRODUCCIÓN (t) ,PRECIO PAGADO AL PRODUCTOR ($/kg),EXPLOTACIONES AGRÍCOLAS
BUENAVISTA,AHUYAMA,72,60,4,240,226.00,50
LA UNION,AJI DULCE,10,10,5,5,1179.00,5
OVEJAS,AJI DULCE,90,70,2,140,1000.00,70
SINCELEJO,AJI DULCE,13,13,10,130,2100.00,20
COROZAL,BATATA,38,38,25,950,1950.00,12
COROZAL,BERENJENA,9,8,16,128,1121.00,20
OVEJAS,BERENJENA,90,70,3,210,1000.00,50
SINCELEJO,BERENJENA,17,17,12,204,1580.00,26
SINCELEJO,COL,6,6,4,24,1500.00,12
BUENAVISTA,ÑAME CRIOLLO,55,55,4,22,1400.00,8
CHALAN,ÑAME CRIOLLO,5475,5025,775,432875,1375.00,218
COLOSO,ÑAME CRIOLLO,450,450,15,6750,850.00,180
COROZAL,ÑAME CRIOLLO,270,266,135,3544,1574.00,302
COVEÑAS,ÑAME CRIOLLO,121,121,10375,1062,1859.00,142
EL PALMITO,ÑAME CRIOLLO,60,55,9,495,1217.00,50
EL ROBLE,ÑAME CRIOLLO,15,13,6,78,800.00,31
LA UNION,ÑAME CRIOLLO,50,30,4,120,1150.00,60
LOS PALMITOS,ÑAME CRIOLLO,90,65,36,234,300.00,430
MORROA,ÑAME CRIOLLO,260,260,68,1768,780.00,123
OVEJAS,ÑAME CRIOLLO,900,450,135,6075,1775.00,580
SAMPUES,ÑAME CRIOLLO,115,25,25,625,792.00,120
SAN BENITO ABAD,ÑAME CRIOLLO,10,10,75,75,1150.00,8
SAN JUAN DE BETULIA,ÑAME CRIOLLO,105,105,3,315,1000.00,350
SAN MARCOS,ÑAME CRIOLLO,40,30,8,240,1350.00,83
SAN ONOFRE,ÑAME CRIOLLO,300,200,6,1200,1000.00,260
SAN PEDRO,ÑAME CRIOLLO,30,26,10,260,1425.00,40
SINCE,ÑAME CRIOLLO,5575,3345,4,1338,1550.00,131
