Nombre De La Finca,Dpto,Municipio,Corregimiento,Vereda/Sector,Area (Has),Altura M.S.N.M.,T (°C),Pp (Mm/Año),Tipo Suelo,Pendiente,Nivel Tecnlogico,Tenencia del predio,Agua Propia, Acueducto,Energ Electrica,Gas Natural,E Internet,Analisis De Suelos,Cultivo,Variedad,Area Cultivada (Has),Produccion (Kg),% Al Mercado,Forma Venta,Sitio Venta,Forma Pago,Participacion En Produccion,Especie,Raza,Numero,Produccion,Participacion Produccion,Tipo Organización,Nombre De La Organización,Longitud (W),Latitud (N)
Callejon Cervera,Valle,Palmira,Rozo,La Campana,"0,69",992,26,1200,Fr- Ar,Plana,Medio,Comodato,Si,No,Si,No,No,No,Maiz,Maiz tradicional,"0,69",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,ASOPLATANO,"-76,38243","3,61676"
La trocha,Valle,Palmira,Rozo,La trocha,"0,43",986,27,1200,Fr- Ar,Plana,Medio,Arrendamiento,Si,No,No,No,No,No,Maiz,Maiz tradicional,"0,43",2500,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,38835","3,62888"
La soledad,Valle,Palmira,Caluce,Vareda Altos del Olivo,"1,157",924,23,1200,Fr- Lim,Ondulada,Medio,Propio,Si,No,No,No,No,No,Citricos,Varias,"1,16",2300,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,ASOBARRANCAS,"-76,28638","3,54804"
Miraflores,Valle,Palmira,Caluce,Altos de caluce,"0,76",1.592,24,1200,Fr- Lim,Ondulada,Profesional,Propio,Si,No,Si,No,Si,No,Citricos,Varias,"0,72",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,ASAHIPAZ,"-76,17881","3,5348"
Bella vista,Valle,Palmira,Caluce,Altos de caluce,"0,346",1.618,25,1200,Fr- Lim,Ondulada,Basico,Propio,Si,No,Si,No,No,No,Citricos,Varias,"0,35",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,ASAHIPAZ,"-76,17892","3,5384"
Villa Andrea,Valle,Palmira,Tenjo,Villa Andrea,"0,316",1.672,19,1200,Fr- Lim,Ondulada,Medio,Propio,Si,No,Si,No,No,Si,"Lulo
 (Solanum quitoense)",La selva,"0,32",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,TRANSFORMADORES DE VIDA,"-76,16232","3,52095"
La Manuela,Valle,Palmira,Caluce,Vareda Altos del Olivo,"0,89",1.618,19,1200,Fr- Lim,Ondulada,Medio,Arrendamiento,Si,No,Si,No,No,Si,Citricos,Varias,"0,89",3000,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,ASOBARRANCAS,"-76,18267","3,54481"
Villa Blanca,Valle,Palmira,Caluce,Vareda Altos del Olivo,"0,103",1.409,23,1200,Fr- Lim,Ondulada,Medio,Propio,Si,No,Si,No,No,Si,Citricos,Varias,"0,1",500,"0,98",Directa,Galeria,Efectivo,no,no,no,no,no,no,Asociacion ,ASORIEGO,"-76,18597","3,54403"
El Gran Chaparral,Valle,Palmira,Caluce,Vareda Altos del Olivo,"0,22",1.446,23,1200,Fr- Lim,Ondulada,Medio,Propio,Si,No,Si,No,No,Si,Citricos,Varias,"0,22",750,"0,98",Directa,Galeria,Efectivo,no,no,no,no,no,no,Asociacion ,ASORIEGO,"-76,18433","3,54446"
Lucitania,Valle,Palmira,Boyaca,Sector la Reforma,"1,35",1.044,22,1200,Fr- Ar,Plana,Medio,Propio,Si,No,Si,No,No,No,Citricos,Varias,"1,35",3500,"0,98",Directa,Galeria,Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,26632","3,60653"
