CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
5,ANTIOQUIA,5044,ANZA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,156,108,389,3.6,FRUTO FRESCO
5,ANTIOQUIA,5093,BETULIA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,362,274,3836,14,FRUTO FRESCO
5,ANTIOQUIA,5001,MEDELLIN,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,8,8,80,10,FRUTO FRESCO
5,ANTIOQUIA,5501,OLAYA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,50,50,600,12,FRUTO FRESCO
5,ANTIOQUIA,5656,SAN JERONIMO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,70,70,882,12.6,FRUTO FRESCO
5,ANTIOQUIA,5679,SANTA BARBARA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,1116,1093,5028,4.6,FRUTO FRESCO
5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,54,54,680,12.6,FRUTO FRESCO
5,ANTIOQUIA,5761,SOPETRAN,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,186,186,2046,11,FRUTO FRESCO
5,ANTIOQUIA,5819,TOLEDO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,36,34,134,3.9,FRUTO FRESCO
5,ANTIOQUIA,5837,TURBO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,250,110,1100,10,FRUTO FRESCO
8,ATLANTICO,8137,CAMPO DE LA CRUZ,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,35,35,420,12,FRUTO FRESCO
8,ATLANTICO,8141,CANDELARIA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,5,5,40,8,FRUTO FRESCO
8,ATLANTICO,8296,GALAPA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,30,27,270,10,FRUTO FRESCO
8,ATLANTICO,8421,LURUACO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,74,74,1400,18.9,FRUTO FRESCO
8,ATLANTICO,8433,MALAMBO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,25,25,200,8,FRUTO FRESCO
8,ATLANTICO,8436,MANATI,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,12,12,120,10,FRUTO FRESCO
8,ATLANTICO,8520,PALMAR DE VARELA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,50,50,750,15,FRUTO FRESCO
8,ATLANTICO,8558,POLONUEVO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,54,54,648,12,FRUTO FRESCO
8,ATLANTICO,8560,PONEDERA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,28,28,280,10,FRUTO FRESCO
8,ATLANTICO,8606,REPELON,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,25,13,260,20,FRUTO FRESCO
8,ATLANTICO,8634,SABANAGRANDE,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,24,20,360,18,FRUTO FRESCO
8,ATLANTICO,8638,SABANALARGA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,30,30,510,17,FRUTO FRESCO
8,ATLANTICO,8675,SANTA LUCIA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,47,47,846,18,FRUTO FRESCO
8,ATLANTICO,8685,SANTO TOMAS,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,100,3,60,20,FRUTO FRESCO
8,ATLANTICO,8770,SUAN,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,40,39,780,20,FRUTO FRESCO
8,ATLANTICO,8832,TUBARA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,33,33,660,20,FRUTO FRESCO
8,ATLANTICO,8849,USIACURI,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,6,6,90,15,FRUTO FRESCO
13,BOLIVAR,13006,ACHI,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,30,30,240,8,FRUTO FRESCO
13,BOLIVAR,13052,ARJONA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,30,30,600,20,FRUTO FRESCO
13,BOLIVAR,13074,BARRANCO DE LOBA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,15,15,225,15,FRUTO FRESCO
13,BOLIVAR,13140,CALAMAR,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,52,37,555,15,FRUTO FRESCO
13,BOLIVAR,13001,CARTAGENA DE INDIAS,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,20,20,340,17,FRUTO FRESCO
13,BOLIVAR,13222,CLEMENCIA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,47,8,64,8,FRUTO FRESCO
13,BOLIVAR,13268,EL PEÑON,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,80,5,50,10,FRUTO FRESCO
13,BOLIVAR,13430,MAGANGUE,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,30,30,210,7,FRUTO FRESCO
13,BOLIVAR,13433,MAHATES,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,200,200,2800,14,FRUTO FRESCO
13,BOLIVAR,13468,MOMPOS,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,23,23,230,10,FRUTO FRESCO
13,BOLIVAR,13549,PINILLOS,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,12,12,120,10,FRUTO FRESCO
13,BOLIVAR,13620,SAN CRISTOBAL,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,25,20,120,6,FRUTO FRESCO
13,BOLIVAR,13650,SAN FERNANDO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,30,30,300,10,FRUTO FRESCO
13,BOLIVAR,13657,SAN JUAN NEPOMUCENO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,65,27,540,20,FRUTO FRESCO
13,BOLIVAR,13673,SANTA CATALINA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,175,100,1800,18,FRUTO FRESCO
13,BOLIVAR,13683,SANTA ROSA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,92,70,700,10,FRUTO FRESCO
13,BOLIVAR,13760,SOPLAVIENTO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,10,8,80,10,FRUTO FRESCO
13,BOLIVAR,13780,TALAIGUA NUEVO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,25,0,0,,FRUTO FRESCO
13,BOLIVAR,13836,TURBACO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,80,80,1280,16,FRUTO FRESCO
13,BOLIVAR,13838,TURBANA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,73,60,600,10,FRUTO FRESCO
13,BOLIVAR,13873,VILLANUEVA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,116,105,1890,18,FRUTO FRESCO
15,BOYACA,15097,BOAVITA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,14,13,39,3,FRUTO FRESCO
15,BOYACA,15218,COVARACHIA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,8,7,69,9.9,FRUTO FRESCO
15,BOYACA,15377,LABRANZAGRANDE,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,12,12,120,10,FRUTO FRESCO
15,BOYACA,15533,PAYA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,8,6,68,11.3,FRUTO FRESCO
15,BOYACA,15753,SOATA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,36,3,12,4,FRUTO FRESCO
15,BOYACA,15761,SOMONDOCO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,1,1,9,9,FRUTO FRESCO
15,BOYACA,15810,TIPACOQUE,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,2,1,3,3,FRUTO FRESCO
17,CALDAS,17380,LA DORADA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,100,100,400,4,FRUTO FRESCO
85,CASANARE,85263,PORE,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,5,5,18,3.6,FRUTO FRESCO
19,CAUCA,19110,BUENOS AIRES,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,31,25,130,5.2,FRUTO FRESCO
19,CAUCA,19450,MERCADERES,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,10,5,30,6,FRUTO FRESCO
19,CAUCA,19532,PATIA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,40,35,320,9.1,FRUTO FRESCO
19,CAUCA,19698,SANTANDER DE QUILICHAO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,140,60,639,10.7,FRUTO FRESCO
19,CAUCA,19780,SUAREZ,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,70,70,420,6,FRUTO FRESCO
20,CESAR,20011,AGUACHICA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,140,135,1600,11.9,FRUTO FRESCO
20,CESAR,20013,AGUSTIN CODAZZI,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,76,75,650,8.7,FRUTO FRESCO
20,CESAR,20045,BECERRIL,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,35,35,115,3.3,FRUTO FRESCO
20,CESAR,20238,EL COPEY,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,25,24,290,12.1,FRUTO FRESCO
20,CESAR,20621,LA PAZ,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,22,21,45,2.1,FRUTO FRESCO
20,CESAR,20750,SAN DIEGO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,32,30,210,7,FRUTO FRESCO
20,CESAR,20770,SAN MARTIN,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,80,80,800,10,FRUTO FRESCO
20,CESAR,20001,VALLEDUPAR,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,240,240,2200,9.2,FRUTO FRESCO
23,CORDOBA,23068,AYAPEL,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,248,248,2060,8.3,FRUTO FRESCO
23,CORDOBA,23079,BUENAVISTA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,20,20,200,10,FRUTO FRESCO
23,CORDOBA,23300,COTORRA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,8,8,80,10,FRUTO FRESCO
23,CORDOBA,23350,LA APARTADA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,23,23,276,12,FRUTO FRESCO
23,CORDOBA,23001,MONTERIA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,260,260,2080,8,FRUTO FRESCO
23,CORDOBA,23672,SAN ANTERO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,130,130,1300,10,FRUTO FRESCO
25,CUNDINAMARCA,25001,AGUA DE DIOS,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,24,24,247,10.3,FRUTO FRESCO
25,CUNDINAMARCA,25035,ANAPOIMA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,1467,1358,12086,8.9,FRUTO FRESCO
25,CUNDINAMARCA,25040,ANOLAIMA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,256,230,2346,10.2,FRUTO FRESCO
25,CUNDINAMARCA,25599,APULO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,380,360,4300,11.9,FRUTO FRESCO
25,CUNDINAMARCA,25123,CACHIPAY,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,935,905,11584,12.8,FRUTO FRESCO
25,CUNDINAMARCA,25245,EL COLEGIO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,847,847,11011,13,FRUTO FRESCO
25,CUNDINAMARCA,25368,JERUSALEN,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,10,10,80,8,FRUTO FRESCO
25,CUNDINAMARCA,25386,LA MESA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,1850,1121,8268,7.4,FRUTO FRESCO
25,CUNDINAMARCA,25483,NARIÑO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,25,10,40,4,FRUTO FRESCO
25,CUNDINAMARCA,25488,NILO,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,34,32,320,10,FRUTO FRESCO
25,CUNDINAMARCA,25524,PANDI,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,58,0,0,,FRUTO FRESCO
25,CUNDINAMARCA,25580,PULI,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,10,10,70,7,FRUTO FRESCO
25,CUNDINAMARCA,25596,QUIPILE,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,200,150,1275,8.5,FRUTO FRESCO
25,CUNDINAMARCA,25612,RICAURTE,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,26,21,162,7.7,FRUTO FRESCO
25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,44,37,592,16,FRUTO FRESCO
25,CUNDINAMARCA,25797,TENA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,183,148,2220,15,FRUTO FRESCO
25,CUNDINAMARCA,25805,TIBACUY,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,15,0,0,,FRUTO FRESCO
25,CUNDINAMARCA,25815,TOCAIMA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,789,766,5592,7.3,FRUTO FRESCO
25,CUNDINAMARCA,25878,VIOTA,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,450,300,2400,8,FRUTO FRESCO
41,HUILA,41016,AIPE,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,17,13,195,15,FRUTO FRESCO
41,HUILA,41020,ALGECIRAS,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,1,0,0,,FRUTO FRESCO
41,HUILA,41132,CAMPOALEGRE,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,20,20,300,15,FRUTO FRESCO
41,HUILA,41244,ELIAS,FRUTALES,MANGO,MANGO,MANGO,112010980266,MANGIFERA INDICA,2007,12,10,90,9,FRUTO FRESCO
